Sentiments,Reviews
neutral,Original product and delivery was on time. Packaging was average which can be improved. Warranty card was available with date of purchase
positive,Full original quality is owsome with warranty card and good packing. Highly recommended for quality watches lovers
neutral,Looks beautiful and real
neutral,"Watch is really nice, it’s original as per my research however I will recommend seller to improve the box. Overall the experience is really good"
negative,I have returned this package due very low quality end old fashioned as well
positive,very beautiful cooperative seller over all is best
neutral,"delivered well, i am happy as it appears original.. rest the time will tell"
negative,Only got watch and it didn't came with the shown bracelet or box
negative,this watch is not beautiful and the bracelet is not delivered with watch so I am not interested with us
negative,very cheap quality
neutral,Same as shown but quality was not good. I complained there on the spot they sent my payment back 🤠 always happy from daraz 😊
positive,"It looks gorgeous. Must buy.. You can put your phone, your I'd card, debit card, university card, metro card whatever you want.. There is much space for all these.. Highly recommended to buy"
positive,"Color, Design and Quality; everything is owesome! 100%! Thanks to Seller as well as Daraz!"
positive,"Product Quality Is Supereb.....🤗
 Same As Shown As The Picture.....😍
 seller is also Honest....💯
 Good Thing In Cheap Prize.....✨✌🏻"
negative,"Size was extremely small and no any currency note was able to fit in Quality of leather was so cheap and thin like a piece of paper and the leather color was coated differently from the internal stitched/sewing part hiddenly. Interior was so rigid and when unstitched, there were so pieces of paper of medicines which is not healthy."
positive,good.. it was osm.. same like as shown in figure.. good and flixible... such a great gift of comb.. highy recommend.. great experience with daraz.
positive,"very good quality!!
 highly recommended!
 value to money!❤
 and that compliment gift..!
 very good advertisement!
 thankyou seller for your kind services!❤"
neutral,"Thanks for the gift. 
 Quality is average. Overall a decent experience."
positive,"100% original product
 nicely packed great service thanks daraz for fast shipping."
positive,"Honestly, with this price, these are perfect. I couldn't expect anything more from them. These do the job of not letting any light through. A bit more comfortable would've been good but i couldn't expect everything from such low cost product. These are nice and neatly packed and look good. Well done seller."
neutral,"best item in thi budget. cozy, comfortable, dandy. handy to have 👍 plus good delivery service"
negative,"i have ordered 2 of them, received but quality is not good , reason is they don't able to maintain air pressure in it."
negative,The Puncture Air cushion delivered by daraz and company is Med & Tech. Third class products are sending in online shopping.
neutral,Received same as shown perfect quality
negative,"Not satisfied with quality and size of product. 
 It doesnt fitt to wheel chair 
 Size is very small 
 I will not recommend"
positive,it was really nice thank you so much it was my third cushion
positive,"nice and elegant necklace set quality is super awesome 😎👍 thanks Alot seller send me original one, highly recommended to buy this item ☺️"
positive,"Same as advertised, very pretty necklace in very less price, highly recommend"
neutral,quality seems good.and very good in this price but i asked and request seller for black and white colour contrast choker he said ok but send me white only..not good..overall good experience according to price
positive,nice set . fastly delivered. good quality in this price. highly recommended
positive,they are actually Good❤️
positive,awesome 👍 it's same like picture
negative,the size is too big that the size that came did not come..
negative,am not satisfying from this order
positive,This air ring is very beautiful thanks for daraz
positive,They're cute♥️👍
positive,wow wonderful product
negative,very poor quality
negative,"It wasn't great at all, Trust me.
 It was too small and couldn't fit."
positive,it's very elegant I love it definitely recommend this
negative,It's ueless thing I recommend don't buy it. .
neutral,Its Size Is Too Large But Its Ohk
neutral,"As advertised, would recommend"
negative,Magnetic quality is not good
positive,Its beautiful thanks
negative,Cheap Quality
positive,best article for men to wear for casual and formal occasion. This necklace chain is gold is three layered and quality is amazing I recommend this to every one.
positive,this chain is amazing snake chain best design silver color of this chain is my favorite Thanks Anmol's Collection thanks daraz
positive,I ASKED SELLER TO GIVE ME ROPE CHAIN AND HE SENT A GOOD QUALITY CHAIN I AM LOVING THIS GREAT SELLER THANKS DARA
positive,Seller is trusted an cooperative best chain for men and women nicely packed and good quality product
negative,"i ordered 4 caps (black, yellow, blue, and white) and they just sent 1 in yellow color.
 i was at office when daraz rider came to deliver this and they tricked my kids and collected money for 4 caps (1425 rupees). this merchant is a fraud! beware!"
negative,"I was scammed and was sent a pair of glasses and now I cant even post a picture of it 
 please dont order from them."
positive,The best cap Thank you daraz
neutral,"I asked for pink colour,they said it is available....but when i ordered they didn't send me pink colour. otherwise caps are good."
positive,Best one! 👍👌
negative,this is third class product don't buy this product this is not same as described
negative,Not as shown in pic!
positive,"The product is cheap and good. Exactly as described in description. In this price range, I thought it's not a bad choice. SATISFIED with my purchase!"
positive,Nice quality product...received same item as per description ... quality of material is good...size is also adjustable...good quality of rubber used...recommended A+++
neutral,"value for money . works fine 
 good quality and adjustable."
positive,It's a good product in this price range. working well. Seller is cooperative. Delivery was on time. 5 stars.
positive,nice product likes show as a picture ☺️ tanks seller
positive,wow so much good nice belt it has good grip awesome really tucked the shirt in ☺️☺️
positive,Excellent and quick fit. Great product.
positive,The item is same as shown. The delivery boy deliver the product before the metion time(Excellent)...😎😎
positive,Best quality in cut price I am satisfied with product 👍👍👍
positive,Everything was best than my thought 10/10 🫰🏻
neutral,It was good . I liked it
positive,omg it's so amazing 🤩 💞 highly satisfied Good quality with affordable price and very fast delivery 😃
neutral,Received my order all colours are great stitching and silk quality is good in this price Recommended for casual use
positive,Received my order all colours are great stitching and silk quality is good in this price Recommended for casual use
positive,"Wonderful Scrunchies, smooth silk material overall excellent quality. Thanks Seller for a quick deliver"
neutral,nice quality 😁 best for make a videos and party etc any time I wear up this but black is very bigg for my size 😞 delivery sooo late
positive,So aesthetic 😍❤️ and same as shown 🥰love it ♥️♥️♥️ if you want scrunchies in reasonable price these are best👍🏻👍🏻👍🏻❣️
negative,waste of money. not comfortable and it got fold whenever i sit
negative,look what i ordered and what i received.
neutral,safely packed
neutral,good but late delivery
positive,"this is awesome in this price 👍
 I like it when it covers my hair so quickly ☺️"
negative,"I got both damaged, how can I got replacement"
positive,well packed.. n the product quality is really good.. highly recommend it
negative,gloves buttons are broken
positive,"I had a great experience with daraz, this is a great product, I love it 🥰"
neutral,Nice product. Same as described. Only issue with size. Must be available in atleast 3 different sizes.
positive,after using review good product Worker great I recommend people to buy
neutral,a nice product but it could be better with some additions to it like some hooks because this tape thing wont lst long but still it works thats ya nice thing to have
positive,Quality is best .....💓💓I love my belt !
positive,"happy to see my parcel, it's so soft, fluffy and cute, comfortable to wear,, color is beautiful, thanks seller thanks daraz"
neutral,Got the colour that I requested for. The material is very soft. The headband is stretchable and comfortable. Might buy another one
neutral,Got it as it was the difference is that in the picture it seems too fluffy and big while in real its kind of small and i wish the elastic would've been more stretchy otherwise good product
positive,Cute and soft
neutral,"So pretty, but very expensive"
neutral,The hair clip is really beautiful and same as shown in the picture but the tassels are of not that quality they are a bit weak
neutral,cute hair clip little bit expensive but nice 👌👌👌👌
positive,"Well packed, high quality and excellent quality !"
negative,It was the worst it was literally broken
positive,Yes it is beautiful thank you
neutral,Same as Shown 💯
neutral,"Good product. Very sticky, holds okay"
neutral,Very average product
positive,Nice product in reasonable price. delivery in time and delivery staff very coporative . i am very happy to receive this order
positive,"Glasses are really awesome 😎. So glad to receive them. metal frame, perfect size. Delivery was on time and I am totally satisfied with my purchase. Seller was very cooperative throughout the process. It is a must try."
positive,I really like the product👍💖Product was same as shown in the picture😍❤Frame Quality was just good👍
positive,"Glasses are really awesome 😎.I am So glad to receive them 😊😊😊😄. metal frame, perfect size. Delivery was on time and I am totally satisfied with my purchase. Seller was very cooperative"
neutral,same as described. Looks too good. quality is also good and seller is also cooperative and of good behavior.
negative,I Buy Many things From daraz But This My One of worst Order Bcz The Glasses Quaity is Very very Poor seriosly And The Nose Tips Is Already Broken From The Glasses Wow
positive,same as picture and nice product thanks for it ☺️
positive,This Frame Is so awesome nd beautiful💯 and Quality 100%🖤 Thank you Daraz
negative,It was not that good as I was expecting... Fragile like Glasses and lens is also not that much Beneficial to block sun dangerous rays..
neutral,I ordered it! the frame is good but the glass has scratches and I see blurr through this glass
positive,i ordered 3 glasses.. all of them were fine.. good quality... nycc frame..
negative,they sent it without the box just in bubble wrap. I received this good in twisted and pressed condition.
